City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Marawi,PH,7.9986,124.2928,75.99,91,100,1.99,light rain
187,Praia,CV,14.9215,-23.5087,73.4,68,75,23.02,broken clouds
188,Montanha,BR,-18.1269,-40.3633,75.56,59,100,9.42,overcast clouds
189,Norman Wells,CA,65.282,-126.8329,41.0,60,75,3.44,broken clouds
190,Cabo San Lucas,MX,22.8909,-109.9124,84.0,44,20,9.22,few clouds
191,Mecca,SA,21.4267,39.8261,82.51,44,100,2.19,overcast clouds
192,Roma,US,43.2128,-75.4557,42.8,81,90,10.36,moderate rain
193,Mazara Del Vallo,IT,37.6641,12.588,55.4,100,75,5.75,broken clouds
194,Kontagora,NG,10.3999,5.4695,90.14,23,38,3.71,scattered clouds
195,Rio Grande,BR,-32.035,-52.0986,69.8,88,75,1.81,light rain
196,Maldonado,UY,-34.6667,-54.9167,73.4,78,40,4.61,scattered clouds
197,Kwinana,AU,-32.25,115.7667,59.0,82,73,5.75,broken clouds
198,Upernavik,GL,72.7868,-56.1549,-3.75,87,100,1.95,overcast clouds
199,Olafsvik,IS,64.8945,-23.7142,44.35,97,100,20.51,overcast clouds
200,Gimbi,ET,9.1667,35.8333,66.18,31,71,4.41,broken clouds
201,Bambous Virieux,MU,-20.3428,57.7575,78.01,94,75,8.05,moderate rain
202,Tuatapere,NZ,-46.1333,167.6833,50.0,95,100,1.01,light rain
203,Akureyri,IS,65.6835,-18.0878,50.0,66,40,24.16,scattered clouds
204,Meulaboh,ID,4.1363,96.1285,78.96,81,100,2.68,light rain
205,Sorland,NO,67.667,12.6934,41.0,87,40,3.44,scattered clouds
206,Ixtapa,MX,20.7,-105.2,80.6,65,1,10.36,clear sky
207,Fukue,JP,32.6881,128.8419,60.31,80,100,16.91,overcast clouds
208,North Bay,CA,46.3168,-79.4663,48.99,76,90,9.22,overcast clouds
209,Kavieng,PG,-2.5744,150.7967,80.06,81,100,7.0,light rain
210,Rodez,FR,44.5,2.5833,44.6,39,0,11.5,clear sky
211,Nouadhibou,MR,20.931,-17.0347,69.8,68,0,21.85,clear sky
212,Derby,GB,52.9228,-1.4766,42.8,52,0,5.75,clear sky
213,Tezu,IN,27.9167,96.1667,74.62,42,100,3.76,overcast clouds
214,Balve,DE,51.3333,7.8667,42.8,45,0,3.44,clear sky
215,Anloga,GH,5.7947,0.8973,84.2,79,20,12.66,few clouds
216,Tan An,VN,10.5333,106.4167,82.4,83,40,4.61,scattered clouds
217,Vila,PT,42.0304,-8.1588,66.2,48,0,8.05,clear sky
218,Leningradskiy,RU,69.3833,178.4167,21.31,89,100,8.7,light snow
219,Novopistsovo,RU,57.3218,41.8531,43.36,84,100,14.5,overcast clouds
220,Churapcha,RU,62.0025,132.4325,13.64,97,99,4.27,light snow
221,Santa Luzia,BR,-19.7697,-43.8514,78.8,44,20,8.05,few clouds
222,Caravelas,BR,-17.7125,-39.2481,77.63,59,98,10.51,overcast clouds
223,Medea,DZ,36.2642,2.7539,57.2,94,75,19.57,broken clouds
224,Broome,US,42.2506,-75.833,45.0,85,100,4.0,light rain
225,Dillon,US,34.4166,-79.3712,72.0,82,90,3.44,overcast clouds
226,Wahlstedt,DE,53.95,10.2167,44.6,53,0,8.05,clear sky
227,Inzhavino,RU,52.3185,42.4937,52.47,84,100,6.73,overcast clouds
228,Saiki,JP,32.95,131.9,52.09,77,17,4.97,few clouds
229,Saint George,US,37.1041,-113.5841,68.0,16,20,19.57,few clouds
230,Chicama,PE,-7.8447,-79.1469,68.0,83,94,8.05,overcast clouds
231,Bengkulu,ID,-3.8004,102.2655,73.72,90,100,5.32,overcast clouds
232,Nushki,PK,29.5542,66.0215,66.61,48,95,6.82,overcast clouds
233,Nanfeng,CN,23.7434,111.7959,70.61,97,100,2.35,light rain
